Game_Title,Genres,Developers,Publishers,Release_date
Dead Space,Survival horror,Motive Studios,Electronic Arts,1/27/2023
Deathloop,Action-adventure,Arkane Studios,Bethesda Softworks,9/14/2021
Death's Door,Action-adventure,Acid Nerve,Devolver Digital,11/23/2021
Death Stranding Director's Cut,Action,Kojima Productions,Sony Interactive Entertainment,9/24/2021
Days of Doom,Strategy video game,SneakyBox,"Atari, Inc.",9/21/2023
Deathverse: Let It Die,"Survival, action",SuperTrick Games,GungHo Online Entertainment,9/27/2022
Deceive Inc.,First-person shooter,Sweet Bandits Studios,Tripwire Interactive,3/21/2023
Deep Rock Galactic,First-person shooter,Ghost Ship Games,Coffee Stain Studios,1/4/2022
Deliver Us The Moon,Adventure,KeokeN Interactive,Wired Productions,6/23/2022
Demon's Souls,Action role-playing,"Bluepoint Games
Japan Studio",Sony Interactive Entertainment,11/12/2020
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,Fighting,CyberConnect2,"JP: Aniplex
WW: Sega",10/15/2021
Demon Turf,Platform,Fabraz,Playtonic Friends,11/4/2021
Destiny 2,First-person shooter,Bungie,Bungie,12/8/2020
Destroy All Humans! 2: Reprobed,Action-adventure,Black Forest Games,THQ Nordic,8/30/2022
Destruction AllStars,Vehicular combat,"Lucid Games
Wushu Studios",Sony Interactive Entertainment,2/2/2021
Devil May Cry 5: Special Edition,"Action-adventure
hack and slash",Capcom,Capcom,11/12/2020
Diablo II: Resurrected,"Action role-playing
hack and slash",Vicarious Visions,Blizzard Entertainment,9/23/2021
Diablo IV,"Action role-playing
hack and slash","Blizzard Team 3
Blizzard Albany",Blizzard Entertainment,6/6/2023
The Diofield Chronicle,Tactical role-playing,"Square Enix
Lancarse",Square Enix,9/22/2022
Dirt 5,Racing,Codemasters,Codemasters,11/12/2020
Disciples: Liberation,Turn-based strategy,Frima Studio,Kalypso Media,10/21/2021
Disco Elysium: The Final Cut,Role-playing,ZA/UM,ZA/UM,3/30/2021
Disgaea 6: Defiance of Destiny,Tactical role-playing,Nippon Ichi Software,Nippon Ichi Software,6/28/2022
Disgaea 7: Vows of the Virtueless,Tactical role-playing,Nippon Ichi Software,Nippon Ichi Software,10/3/2023
Divine Knockout,Fighting,Red Beard Games,Hi-Rez Studios,12/6/2022
DNF Duel,Fighting,"Neople
Arc System Works
Eighting",Nexon,6/28/2022
Doctor Who: The Edge of Reality,Adventure,Maze Theory,"BBC Studios
Just Add Water",9/30/2021
Doki Doki Literature Club Plus!,Visual novel,Team Salvato,Serenity Forge,6/30/2021
Dolmen,"Action-adventure
role-playing",Massive Work Studio,Prime Matter,5/19/2022
Doom Eternal,First-person shooter,id Software,Bethesda Softworks,6/29/2021
Dragon Ball Z: Kakarot,Action role-playing,CyberConnect2,Bandai Namco Entertainment,1/13/2023
Dreaming Sarah,"Adventure
platformer",Asteristic Game Studio,Ratalaika Games,3/5/2021
Dungeons & Bombs,Puzzle,PigeonDev,Sometimes You,2/26/2021
Dungeons & Dragons: Dark Alliance,Role-playing,Tuque Games,Wizards of the Coast,6/22/2021
Dying Light 2: Stay Human,Survival horror,Techland,Techland Publishing,2/4/2022
Dynasty Warriors 9: Empires,Hack and slash,Omega Force,Koei Tecmo,2/15/2022
Dysmantle,"Action
adventure",10tons,10tons,1/19/2022
EA Sports PGA Tour,Sports,EA Tiburon,Electronic Arts,3/24/2023
Edge of Eternity,Role-playing,Midgard Studio,Dear Villagers,2/10/2022
eFootball 2022,Sports,Konami,Konami,9/30/2021
Eiyuden Chronicle: Hundred Heroes,Japanese role-playing,Rabbit & Bear Studios,505 Games,4/23/2024
Eiyuden Chronicle: Rising,Japanese role-playing,Rabbit & Bear Studios,505 Games,5/10/2022
ELEX II,Action role-playing,Piranha Bytes,THQ Nordic,3/1/2022
Elden Ring,Action role-playing,FromSoftware,Bandai Namco Entertainment,2/25/2022
The Elder Scrolls Online,Massively multiplayer online role-playing,ZeniMax Online Studios,Bethesda Softworks,6/15/2021
The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,Bethesda Softworks,11/11/2021
